k,mean_prauc,std_prauc
5,0.825710289244092,0.09079619156418896
10,0.8404097124444926,0.08565147848381202
15,0.8503001846672127,0.08327889934952548
20,0.8483634913345357,0.08438495152833027
25,0.8576352494352136,0.07909692470541732
28,0.8586647783759283,0.07891811516409047
