k,mean_prauc,std_prauc
5,0.8111535888882311,0.01779815106950118
10,0.823778381174161,0.022716801533688283
15,0.839606742978968,0.021734167113260542
20,0.8488633302226319,0.017551049864865706
25,0.8523070515548157,0.013463566184338232
30,0.8532846142590748,0.014201406584659253
